timestamp,crazyflie_ActualState_pose_x,crazyflie_ActualState_pose_y,crazyflie_ActualState_pose_z,crazyflie_ActualState_vel_x,crazyflie_ActualState_vel_y,crazyflie_ActualState_vel_z,crazyflie_ActualState_ori_qx,crazyflie_ActualState_ori_qy,crazyflie_ActualState_ori_qz,crazyflie_ActualState_ori_qw,crazyflie_ActualState_ang_vel_x,crazyflie_ActualState_ang_vel_y,crazyflie_ActualState_ang_vel_z,cf_control_control_command_thrust,cf_control_control_command_torque_x,cf_control_control_command_torque_y,cf_control_control_command_torque_z
1781018416582226084,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416615183821,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416661099365,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416668456665,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416688334483,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416763369923,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416822406301,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416890314643,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416898386846,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416927612579,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416954335554,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018416983630436,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417011751148,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417047879014,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417057685315,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417102612177,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417194371993,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417205388187,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417236428602,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417260490073,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417281903269,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417318591411,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417326075683,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417356295586,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417362366209,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417386480182,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417414055147,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417431942078,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417457453907,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417475055260,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417497185198,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417522398412,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417535001345,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417603100875,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417618531709,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417632641825,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417666019959,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417686242600,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417692042984,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417728537967,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417755175907,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417827573878,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417833325534,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417851053959,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417869674421,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018417886550803,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418098570671,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418098589604,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418098602598,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418098613673,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418098624714,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418098636988,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418118012264,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418122456133,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418139856015,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418148368108,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418165081630,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418167123793,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418179867720,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418185535011,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418200861190,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
