x,y,z
0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
6.180339887498947915e-01,2.853169548885460483e+00,1.000000000000000000e+00
1.175570504584946274e+00,2.427050983124842354e+00,1.000000000000000000e+00
1.618033988749894903e+00,1.763355756877419411e+00,1.000000000000000000e+00
1.902113032590307062e+00,9.270509831248423538e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.836970198721029688e-16,1.000000000000000000e+00
1.902113032590307284e+00,-9.270509831248420207e-01,1.000000000000000000e+00
1.618033988749894903e+00,-1.763355756877419189e+00,1.000000000000000000e+00
1.175570504584946496e+00,-2.427050983124841910e+00,1.000000000000000000e+00
6.180339887498950135e-01,-2.853169548885460483e+00,1.000000000000000000e+00
2.449293598294706414e-16,-3.000000000000000000e+00,1.000000000000000000e+00
-6.180339887498945695e-01,-2.853169548885460927e+00,1.000000000000000000e+00
-1.175570504584946052e+00,-2.427050983124842798e+00,1.000000000000000000e+00
-1.618033988749894680e+00,-1.763355756877419633e+00,1.000000000000000000e+00
-1.902113032590307062e+00,-9.270509831248426869e-01,1.000000000000000000e+00
-2.000000000000000000e+00,-5.510910596163089556e-16,1.000000000000000000e+00
-1.902113032590307284e+00,9.270509831248416877e-01,1.000000000000000000e+00
-1.618033988749895125e+00,1.763355756877418745e+00,1.000000000000000000e+00
-1.175570504584946718e+00,2.427050983124841910e+00,1.000000000000000000e+00
-6.180339887498952356e-01,2.853169548885460483e+00,1.000000000000000000e+00
