x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.180339887498947915e-01,-1.468304511145395175e-01,1.000000000000000000e+00
1.175570504584946274e+00,-5.729490168751576462e-01,1.000000000000000000e+00
1.618033988749894903e+00,-1.236644243122580589e+00,1.000000000000000000e+00
1.902113032590307062e+00,-2.072949016875157646e+00,1.000000000000000000e+00
2.000000000000000000e+00,-3.000000000000000000e+00,1.000000000000000000e+00
1.902113032590307284e+00,-3.927050983124841910e+00,1.000000000000000000e+00
1.618033988749894903e+00,-4.763355756877419189e+00,1.000000000000000000e+00
1.175570504584946496e+00,-5.427050983124841466e+00,1.000000000000000000e+00
6.180339887498950135e-01,-5.853169548885460927e+00,1.000000000000000000e+00
2.449293598294706414e-16,-6.000000000000000000e+00,1.000000000000000000e+00
-6.180339887498945695e-01,-5.853169548885460927e+00,1.000000000000000000e+00
-1.175570504584946052e+00,-5.427050983124843242e+00,1.000000000000000000e+00
-1.618033988749894680e+00,-4.763355756877420077e+00,1.000000000000000000e+00
-1.902113032590307062e+00,-3.927050983124842798e+00,1.000000000000000000e+00
-2.000000000000000000e+00,-3.000000000000000444e+00,1.000000000000000000e+00
-1.902113032590307284e+00,-2.072949016875158534e+00,1.000000000000000000e+00
-1.618033988749895125e+00,-1.236644243122581255e+00,1.000000000000000000e+00
-1.175570504584946718e+00,-5.729490168751580903e-01,1.000000000000000000e+00
-6.180339887498952356e-01,-1.468304511145395175e-01,1.000000000000000000e+00
